,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
57721,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014573,PMCS,Preventive PM,2015-08-24 10:30:59,7.0,1.0,0.0,99944200200,"KIT, SRM SHOULDER HARNESS, ECHO",CONSUMABLE,1.0
57722,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014601,PMCS,Preventive PM,2015-08-24 11:30:33,7.0,1.0,0.0,90125,"KIT, REPOWER TUNE UP, ECHO",CONSUMABLE,1.0
57723,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014601,PMCS,Preventive PM,2015-08-24 11:30:33,7.0,1.0,0.0,99944200200,"KIT, SRM SHOULDER HARNESS, ECHO",CONSUMABLE,1.0
57726,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",7018345,Corrective Maintenance,Corrective COR,2015-08-25 14:45:00,7.0,1.0,0.0,917293,"SENSOR, GEARTOOTH HALL EFFECT, 24VDC, MAX 4.75 MIN,MEGGITT",CONSUMABLE,1.0
57733,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7019856,Corrective Maintenance,Corrective COR,2015-08-25 11:08:54,7.0,1.0,0.0,20-2577,"PCA, MOVING VEHICLE CONTROL MODULE B",CONSUMABLE,1.0
57734,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7019937,Corrective Maintenance,Corrective COR,2015-08-25 11:22:52,7.0,1.0,0.0,20-2577,"PCA, MOVING VEHICLE CONTROL MODULE B",CONSUMABLE,1.0
57735,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7019990,Corrective Maintenance,Corrective COR,2015-08-25 12:05:11,7.0,1.0,0.0,914325,"CONTACTOR, HEAVY DUTY, DC POWER",CONSUMABLE,1.0
57736,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7019990,Corrective Maintenance,Corrective COR,2015-08-25 12:05:11,7.0,1.0,0.0,914325,"CONTACTOR, HEAVY DUTY, DC POWER",CONSUMABLE,1.0
57738,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7020000,Corrective Maintenance,Corrective COR,2015-08-25 12:18:28,7.0,1.0,0.0,20-6058,"CARD, PCA TGT CONTROL",CONSUMABLE,1.0
57739,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7020005,Corrective Maintenance,Corrective COR,2015-08-25 12:27:53,7.0,1.0,0.0,20-6009,"POWER CABLE ASSEMBLY, 12V BATTERY",CONSUMABLE,1.0
57740,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7020022,Corrective Maintenance,Corrective COR,2015-08-25 12:57:44,7.0,2.0,0.0,913028-1,"CONTROL, ELECTRIC VEHICLE, EV-10,MEGGITT",CONSUMABLE,2.0
57741,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7020022,Corrective Maintenance,Corrective COR,2015-08-25 12:57:44,7.0,1.0,0.0,BL1830,"BATTERY, 18-VOLT LITHIUM-LON, MAKITA LXT",CONSUMABLE,1.0
57742,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7020354,Corrective Maintenance,Corrective COR,2015-08-25 15:48:35,7.0,1.0,0.0,8383-1,"ICONVERTER, ETHERNET, MEDIA, 100 BASE-X, 10/100 BASE-T UTP, OMNITRON",CONSUMABLE,1.0
57744,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7022498,Corrective Maintenance,Corrective COR,2015-08-26 14:17:40,7.0,1.0,0.0,8230-0-W,POWER CHASSIS DUAL MODULE,CONSUMABLE,1.0
57755,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7024277,Corrective Maintenance,Corrective COR,2015-08-27 14:41:11,7.0,1.0,0.0,M119692,"TIRE, MOWER 23 X 10..5-12, JOHN DEERE",CONSUMABLE,1.0
57756,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",7024332,Corrective Maintenance,Corrective COR,2015-08-25 16:00:00,7.0,1.0,0.0,20-3401,"ASSEMBLY, ECU, TARGET CONTROL PCA",REPAIRABLE,1.0
57760,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",7025425,Corrective Maintenance,Corrective COR,2015-08-27 20:30:00,7.0,1.0,0.0,20-3401,"ASSEMBLY, ECU, TARGET CONTROL PCA",REPAIRABLE,1.0
57790,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031183,Corrective Maintenance,Corrective COR,2015-08-31 12:22:38,7.0,1.0,0.0,5LE23,"BATTERY, AA, 1.5V, 24PK,DURACELL",CONSUMABLE,1.0
57791,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031183,Corrective Maintenance,Corrective COR,2015-08-31 12:22:38,7.0,1.0,0.0,20-3495,"PC ASSEMBLY, I/O, PNP, TARGET, MEGGITT",CONSUMABLE,1.0
57792,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031183,Corrective Maintenance,Corrective COR,2015-08-31 12:22:38,7.0,1.0,0.0,38W366,"BATTERY,ALKALINE, AAA ,1.5V,24 PK,MDL#EN92,ENERGIZER",CONSUMABLE,1.0
57793,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031183,Corrective Maintenance,Corrective COR,2015-08-31 12:22:38,7.0,1.0,0.0,CC641WN#140,"CARTRIDGE, PRINTER, HP 60XL, BLACK",CONSUMABLE,1.0
57794,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031183,Corrective Maintenance,Corrective COR,2015-08-31 12:22:38,7.0,1.0,0.0,C4906AN#140,CARTRIDGE INK,CONSUMABLE,1.0
57803,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031910,Corrective Maintenance,Corrective COR,2015-08-31 16:52:07,7.0,1.0,0.0,2EXW5,"FLUID,WINDSHIELD,WASHER",CONSUMABLE,1.0
57804,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031910,Corrective Maintenance,Corrective COR,2015-08-31 16:52:07,7.0,4.0,0.0,5TN63,"2-CYCLE OIL UNIVERSAL, 15OZ, CRC",CONSUMABLE,4.0
57805,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031910,Corrective Maintenance,Corrective COR,2015-08-31 16:52:07,7.0,2.0,0.0,618936,"DVD -R SPINDLE OF 100,STAPLES,VERBATIM",CONSUMABLE,2.0
