,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
84196,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5755282,System - Device Degraded,Corrective COR,2013-05-17 11:04:00,5.0,1.0,0.0,921340228,RACK DISTRIBUTION UNIT ASSY,REPAIRABLE,1.0
84226,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5694658,System - Device Degraded,Corrective COR,2013-04-05 09:56:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
84369,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5311560,System - Device Degraded,Corrective COR,2012-07-25 15:57:00,4.0,1.0,0.0,DVI-DB15,DVI CONNECTOR (LOT II'S AND UP),CONSUMABLE,1.0
84370,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5311560,System - Device Degraded,Corrective COR,2012-07-25 15:57:00,4.0,1.0,0.0,921340381,"COMPUTER, EST",REPAIRABLE,1.0
84469,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5986815,System - Device Degraded,Corrective COR,2013-10-24 14:31:00,5.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
84492,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5397429,System - Device Degraded,Corrective COR,2012-09-18 16:23:00,4.0,1.0,0.0,HP960CXI,CARTRIDGE  INK,CONSUMABLE,1.0
84493,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5397429,System - Device Degraded,Corrective COR,2012-09-18 16:23:00,4.0,1.0,0.0,CB277AN,"INKJET CARTRIDGE, TRI COLOR",CONSUMABLE,1.0
84514,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5591971,System - Device Degraded,Corrective COR,2013-01-25 15:44:00,4.0,1.0,0.0,921343307,CABLE ASSEMBLY,CONSUMABLE,1.0
84541,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5710966,System - Device Degraded,Corrective COR,2013-04-17 15:59:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
84621,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6167205,System - Device Degraded,Corrective COR,2014-03-05 14:42:00,5.0,1.0,0.0,DVI-DB15,DVI CONNECTOR (LOT II'S AND UP),CONSUMABLE,1.0
85112,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6497534,System - Device Degraded,Corrective COR,2014-10-01 14:34:00,6.0,2.0,0.0,5610000,"OIL, COMPRESSOR, JUN-AIR SJ-27",CONSUMABLE,2.0
85401,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5930127,System - Device Degraded,Corrective COR,2013-09-11 10:00:00,5.0,1.0,0.0,921340153,FLOOR BOX ASSY,REPAIRABLE,1.0
85499,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5942474,System - Device Degraded,Corrective COR,2013-09-20 10:53:00,5.0,2.0,0.0,5412000,FILTER,CONSUMABLE,2.0
86018,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5398948,System - Device Degraded,Corrective COR,2012-09-20 08:43:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
86090,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6213671,System - Device Degraded,Corrective COR,2014-04-02 10:34:00,5.0,1.0,0.0,22-000183-01,VGA TO S-VIDEO CONVERTER,CONSUMABLE,1.0
86179,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6094950,System - Device Degraded,Corrective COR,2014-01-16 10:55:00,5.0,1.0,0.0,921340381,"COMPUTER, EST",REPAIRABLE,1.0
86228,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6225555,System - Device Degraded,Corrective COR,2014-04-10 10:25:00,5.0,1.0,0.0,5424000,"OUTLET COCK, 1/4""",CONSUMABLE,1.0
86252,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328476,System - Device Degraded,Corrective COR,2012-08-02 16:13:00,4.0,1.0,0.0,C9386AN,CARTRIDGE  INK,REPAIRABLE,1.0
