,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
105030,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,6723135,System - Device Degraded,Corrective COR,2015-03-10 08:30:00,6.0,1.0,0.0,DTA185478,"LOCK, EXT. DR LOCKING ASSY. R/S, BAE SYS.",REPAIRABLE,1.0
105068,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Marana, AZ",5938276,System - Device Down,Corrective COR,2013-09-16 12:00:00,5.0,1.0,0.0,LIR-542AI,"CAMERA, DAY/NIGHT CAM, 66 LED, BLACK",REPAIRABLE,1.0
105071,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Marana, AZ",5938276,System - Device Down,Corrective COR,2013-09-16 12:00:00,5.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
105073,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Campbell, KY",6653748,Corrective Maintenance,Corrective COR,2015-01-26 10:00:00,6.0,1.0,0.0,900-US-07301,"HARNESS ASSEMBLY, HMMWV GUNNER (WITH SWIVEL)",REPAIRABLE,1.0
105081,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5614627,System - Device Degraded,Corrective COR,2013-02-13 12:00:00,4.0,1.0,0.0,MAG-4000,"PROCESSOR, VIDEO, GRAND MAGIC GUARDIII",REPAIRABLE,1.0
105097,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5354886,System - Device Degraded,Corrective COR,2012-08-21 12:00:00,4.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
105102,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Germany - Hohenfels,5595195,Corrective Maintenance,Corrective COR,2013-01-28 05:20:00,4.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
105116,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5779041,System - Device Down,Corrective COR,2013-06-03 10:15:33,5.0,1.0,0.0,AEP-1500-241-P4,"INVERTER, 24VDC TO 110VAC, UNIVERSAL OUTLET",REPAIRABLE,1.0
105118,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5779041,System - Device Down,Corrective COR,2013-06-03 10:15:33,5.0,2.0,0.0,LIR-542AI,"CAMERA, DAY/NIGHT CAM, 66 LED, BLACK",REPAIRABLE,2.0
105146,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Korea - Camp Humphreys,6476662,Corrective Maintenance,Corrective COR,2014-09-09 23:00:00,6.0,1.0,0.0,DTA185478,"LOCK, EXTERNAL DOOR LOCKING ASSY (RIGHT TRAINING LOCK)",REPAIRABLE,1.0
105205,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5823990,System - Device Degraded,Corrective COR,2013-06-30 09:00:00,5.0,1.0,0.0,900-US-07301,"HARNESS ASSEMBLY, HMMWV GUNNER (WITH SWIVEL)",REPAIRABLE,1.0
105264,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Bragg, NC",6355624,Corrective Maintenance,Corrective COR,2014-07-01 07:00:00,6.0,2.0,0.0,900-US-07301,"HARNESS ASSEMBLY, HMMWV GUNNER (WITH SWIVEL)",REPAIRABLE,2.0
105266,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Richardson, AK",5200826,Corrective Maintenance,Corrective COR,2012-05-08 15:00:00,4.0,1.0,0.0,DTA185580,"PLATE, STRIKE, GUNNER'S LOCK",REPAIRABLE,1.0
105282,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Bragg, NC",6355623,Corrective Maintenance,Corrective COR,2014-07-01 06:45:00,6.0,2.0,0.0,900-US-07301,"HARNESS ASSEMBLY, HMMWV GUNNER (WITH SWIVEL)",REPAIRABLE,2.0
105287,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Marana, AZ",5893695,System - Device Down,Corrective COR,2013-08-20 09:50:00,5.0,1.0,0.0,4668657-012,"SPACER, DOOR LATCH",REPAIRABLE,1.0
105311,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Germany - Hohenfels,5872381,Corrective Maintenance,Corrective COR,2013-08-02 09:15:00,5.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
105337,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,6192727,System - Device Degraded,Corrective COR,2014-03-24 11:45:00,5.0,1.0,0.0,NPC-44124,"MOTOR, W/BRAKE",REPAIRABLE,1.0
105338,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,6192727,System - Device Degraded,Corrective COR,2014-03-24 11:45:00,5.0,1.0,0.0,NPC-44124,"MOTOR, W/BRAKE",REPAIRABLE,1.0
105404,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,6210364,Corrective Maintenance,Corrective COR,2014-03-24 09:45:00,5.0,4.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,4.0
105444,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5500077,System - Device Degraded,Corrective COR,2012-11-16 09:30:00,4.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
105469,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5674911,System - Device Degraded,Corrective COR,2013-03-22 15:00:00,4.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
