,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
22461,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Hunter AAF, GA",7811785,System - Device Down,Corrective COR,2017-01-27 09:18:00,8.0,1.0,0.0,A001345-002,"ASSY, COLLECTIVE, PILOT AH64D, WITTENSTEIN AEROSPACE",REPAIRABLE,1.0
22597,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bliss, TX",7835387,System - Device Down,Corrective COR,2017-02-07 13:30:00,8.0,1.0,0.0,P002040-004,REMOTE INTERFACE UNIT,REPAIRABLE,1.0
24142,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Rucker, AL",8357121,System - Device Down,Corrective COR,2017-06-02 08:00:00,9.0,1.0,0.0,70434-1,CONTACTOR,CONSUMABLE,1.0
24217,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",8367726,System - Device Down,Corrective COR,2017-06-08 13:00:00,9.0,1.0,0.0,3TX7110-5JC13,"RELAY, OVERLOAD, SCHNEIDER ELECTRIC",CONSUMABLE,1.0
24218,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",8367726,System - Device Down,Corrective COR,2017-06-08 13:00:00,9.0,0.0,1.0,75803,"COIL, CONDENSER, 30 IN x 52 IN, APPLIED COMPANIES",CONSUMABLE,1.0
24439,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",8398346,System - Device Down,Corrective COR,2017-06-28 07:40:00,9.0,1.0,0.0,50CD36-01-1-AJN,SWITCH,REPAIRABLE,1.0
24596,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,8418586,System - Device Down,Corrective COR,2017-07-11 23:00:00,9.0,1.0,0.0,B120,CIRCUIT BREAKER,CONSUMABLE,1.0
25170,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Richardson, AK",8470599,System - Device Down,Corrective COR,2017-08-17 13:00:00,9.0,0.0,1.0,SLA6-5F,"BATTERY, 6V LEAD, DURACELL",CONSUMABLE,1.0
25263,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",8480262,System - Device Down,Corrective COR,2017-08-23 14:00:00,9.0,1.0,0.0,E2000RTXL2U,UPS,CONSUMABLE,1.0
25641,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Richardson, AK",8521758,System - Device Down,Corrective COR,2017-09-19 12:40:00,9.0,0.0,2.0,SLA6-5F,"BATTERY, 6V LEAD, DURACELL",CONSUMABLE,2.0
25642,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Richardson, AK",8521761,System - Device Down,Corrective COR,2017-09-19 12:40:00,9.0,1.0,0.0,SLA6-5F,"BATTERY, 6V LEAD, DURACELL",CONSUMABLE,1.0
25722,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",8532271,System - Device Down,Corrective COR,2017-09-25 09:53:00,9.0,1.0,0.0,B120,CIRCUIT BREAKER,CONSUMABLE,1.0
25726,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",8532959,System - Device Down,Corrective COR,2017-09-25 18:00:00,9.0,1.0,0.0,6EP1434-1SH01,POWER SUPPLY,CONSUMABLE,1.0
25969,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",8559779,System - Device Down,Corrective COR,2017-10-16 08:00:00,9.0,1.0,0.0,APJ10487,PLUG,CONSUMABLE,1.0
26068,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Camp Ripley, MN",8572963,System - Device Down,Corrective COR,2017-10-24 09:30:00,9.0,1.0,0.0,APJ10487,PLUG,CONSUMABLE,1.0
26528,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bliss, TX",8625079,System - Device Down,Corrective COR,2017-11-27 13:00:00,9.0,1.0,0.0,PC48-207A04800,PROCESSOR,REPAIRABLE,1.0
26865,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",8661225,System - Device Down,Corrective COR,2017-12-29 08:05:17,9.0,0.0,2.0,AP100-CON-KIT,"KIT, CONNECTOR, CROUSE-HINDS/COOPER",CONSUMABLE,2.0
27558,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Hunter AAF, GA",8756532,System - Device Down,Corrective COR,2018-03-02 10:00:00,9.0,1.0,0.0,APJ10487,PLUG,CONSUMABLE,1.0
27771,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bliss, TX",8789132,System - Device Down,Corrective COR,2018-03-22 16:56:00,9.0,0.0,2.0,B120,CIRCUIT BREAKER,CONSUMABLE,2.0
