,rmse_tsb,rmse_ses,rmse_dotm,rmse_rf,rmse_svr,rmse_mlp,mae_tsb,mae_ses,mae_dotm,mae_rf,mae_svr,mae_mlp
261,4.742843975160496e-10,0.0035335614475284784,0.0044084296742337775,0.0032771803401490337,0.01,0.007904318527555243,4.742843975160496e-10,0.0035335614475284776,0.004403397550580422,0.003277180340149034,0.01,0.007904318527555243
262,4.5531302163994555e-10,0.01413426799647706,0.006499693965988843,0.014237233728695392,0.009999999999999997,0.009532581106851734,4.5531302163994545e-10,0.014134267996477065,0.0064986329568358925,0.014237233728695392,0.009999999999999997,0.009532581106851734
263,7.838214569512328e-23,0.007067135342918376,0.012712744570604888,0.004366387661784082,0.01,0.00957257396328226,7.838214569512328e-23,0.007067135342918376,0.012694959264345244,0.004366387661784082,0.01,0.00957257396328226
264,0.13736056394868904,0.13736056394868904,0.13736056394868904,0.14285714285714285,0.14285714285714285,0.16257756949934157,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.02040816326530612,0.02040816326530612,0.04088198074736656
265,3.1082702275611846e-09,0.07067137574480634,0.08024904789929348,0.04350480158673535,0.01,0.07106584833876917,3.1082702275611833e-09,0.07067137574480632,0.080158716047625,0.04350480158673535,0.01,0.07106584833876917
266,0.004872535310666343,0.04240282042519058,0.01832144834604012,0.03952593877728428,0.009999999999999997,0.0466809017484342,0.004872535310666342,0.04240282042519057,0.018289036059084454,0.03952593877728429,0.009999999999999997,0.04668090174843421
267,6.868028197434452,6.868028197434452,6.868028197434452,7.142857142857143,7.142857142857143,7.14335022127249,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0204081632653061,1.0204081632653061,1.0408819807473666
268,4.606887725649442e-19,0.003533561474279801,0.0029961916244655136,0.0029266078741828237,0.01,0.00848853166648289,4.606887725649444e-19,0.003533561474279801,0.002991587866265203,0.0029266078741828237,0.01,0.00848853166648289
269,1.6599954808129473e-09,0.038869243671915556,0.04662811423916732,0.03200255158651536,0.01,0.044894554782722196,1.6599954808129473e-09,0.03886924367191557,0.04658271258726852,0.032002551586515375,0.01,0.044894554782722196
270,2.784692769789226e-21,0.007067130305718334,0.010151412775470605,0.01385359682890463,0.01,0.0058108102923766225,2.7846927697892264e-21,0.007067130305718331,0.010136899204779537,0.01385359682890463,0.01,0.0058108102923766225
271,4.3322963970638105e-15,0.003533561462496065,0.0002768924363096672,0.0032675622424634394,0.01,0.0028536832535593915,4.3322963970638105e-15,0.0035335614624960655,0.0002768924363096673,0.0032675622424634385,0.01,0.0028536832535593915
272,0.0028823037615171208,0.0035335614079594043,0.009841548038877893,0.0051051392767350965,0.01,0.006950240753184955,0.0028823037615171216,0.003533561407959406,0.009829139784003047,0.0051051392767350965,0.01,0.006950240753184955
273,6.243497100632342e-17,0.0035335612673131926,0.0012388833485464192,0.001447986275011611,0.01,0.004829517265339755,6.243497100632342e-17,0.0035335612673131926,0.0012364918134237736,0.001447986275011611,0.01,0.0048295172653397556
274,2.35872651555179e-19,0.0035335613811037685,0.003236009649823384,0.004365526515352129,0.01,0.006685381280669422,2.358726515551791e-19,0.00353356138110377,0.0032311005068021773,0.00436552651535213,0.01,0.006685381280669422
275,0.13736056394868904,0.13736056394868904,0.13736056394868904,0.14285714285714285,0.14285714285714285,0.1625775694993416,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.02040816326530612,0.02040816326530612,0.04088198074736656
276,6.771019464446583e-07,0.03180211903831075,0.009683616503073802,0.032317888191260837,0.009999999999999997,0.037252703928701836,6.771019464446586e-07,0.031802119038310726,0.009626649698708294,0.032317888191260837,0.009999999999999997,0.037252703928701836
277,1.4633196329606695e-15,0.042402810079540415,0.011993709518480215,0.047972421489689915,0.01,0.0444611651446859,1.4633196329606703e-15,0.042402810079540415,0.01196848130336458,0.04797242148968992,0.01,0.0444611651446859
278,5.3113799328020026e-21,0.00353356145459861,0.004595623578646329,0.003270169378234877,0.01,0.006072762701874401,5.311379932802001e-21,0.003533561454598609,0.004588979881149256,0.0032701693782348773,0.01,0.006072762701874401
279,0.19425717247145283,0.19425717247145283,0.19425717247145283,0.20203050891044214,0.20203050891044214,0.22991883707172578,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.04081632653061224,0.04081632653061224,0.08125350267003444
280,1.9054172192168207e-16,0.007067130326348004,0.0016970979287152402,0.004424325370617605,0.01,0.009439063101722267,1.9054172192168202e-16,0.007067130326348001,0.0016697001059329268,0.004424325370617605,0.01,0.009439063101722267
281,4.549119382423954e-25,0.021201410807520644,0.05159307013554041,0.015281035073387968,0.01,0.030002674024845355,4.549119382423955e-25,0.02120141080752065,0.05152253026246271,0.01528103507338797,0.01,0.030002674024845355
282,2.274559691211977e-25,0.010600704251090927,0.025796534023741904,0.007640517536693984,0.01,0.014827075268414536,2.2745596912119775e-25,0.010600704251090928,0.02576126408577366,0.007640517536693985,0.01,0.014827075268414536
283,0.13637920321731262,0.144180667366663,0.16018779339787032,0.14717557062027486,0.14177446878757824,0.15589020217851357,0.028029841246899886,0.08293241354231778,0.11856469478744174,0.061581587762191005,0.03,0.07761095899607727
284,1.243308091025084e-10,0.007067130209028572,0.0007417796911663154,0.010316301837807216,0.01,0.00718311960056861,1.2433080910250843e-10,0.00706713020902857,0.0007281130740698308,0.010316301837807214,0.01,0.00718311960056861
285,3.737551467706394e-22,0.0070671355747444365,0.011592012914303737,0.00508309970551629,0.01,0.006162055922499965,3.737551467706392e-22,0.007067135574744436,0.011575659239124299,0.005083099705516291,0.01,0.006162055922499965
286,3.995838144404814e-17,0.0035335614973849836,0.001398522805536083,0.003986958162990904,0.01,0.000603277528404611,3.9958381444048124e-17,0.0035335614973849845,0.0013959348807985933,0.003986958162990905,0.01,0.000603277528404611
287,2.1267647932558702e-05,0.0035335614887837094,0.008175783575629744,0.0036365078983158438,0.01,0.008746568739642524,2.12676479325587e-05,0.0035335614887837086,0.008165748565437354,0.0036365078983158438,0.01,0.008746568739642524
288,0.10240000000000005,0.003533561476946416,0.010863255661504752,0.00289857926304324,0.01,0.008108470700469163,0.10240000000000005,0.003533561476946417,0.010848872101902654,0.0028985792630432405,0.01,0.008108470700469161
289,9.03703716829792e-25,0.007067135375846623,0.015915959918781582,0.00804000781075276,0.01,0.005081565318424519,9.037037168297921e-25,0.007067135375846623,0.01589408327111412,0.00804000781075276,0.01,0.005081565318424519
290,3.0061345059505293e-12,0.03533568838765247,0.017892461968169623,0.021700176552741837,0.01,0.0330414410635973,3.006134505950529e-12,0.03533568838765248,0.017875911182880684,0.02170017655274184,0.01,0.0330414410635973
291,8.920298079412271e-05,0.07067128242123154,0.15264968107716892,0.058211235805102325,0.01,0.07088511655356677,8.920298079412273e-05,0.07067128242123155,0.15246374007503297,0.058211235805102325,0.01,0.07088511655356677
292,2.428336115282175e-10,0.0035335614189649124,0.004170891173035534,0.003274246875867881,0.01,0.004668143102132483,2.428336115282174e-10,0.0035335614189649124,0.0041661684786598345,0.0032742468758678806,0.01,0.004668143102132483
293,2.473304014937323e-19,0.01766783208863578,0.018978641573670192,0.018255103634021625,0.01,0.02402745836599463,2.473304014937323e-19,0.017667832088635784,0.018950527898791415,0.018255103634021625,0.01,0.02402745836599463
294,2.4594755901265413e-07,0.017667837181328777,0.02055551996954874,0.01856645417419924,0.009999999999999997,0.013126456993783788,2.459475590126541e-07,0.01766783718132878,0.02055069284511321,0.018566454174199245,0.009999999999999997,0.013126456993783786
295,9.915839531853809e-14,0.021201407320826326,0.004527916885920029,0.026024513267493575,0.01,0.017805632860920184,9.915839531853808e-14,0.02120140732082633,0.004525569417583719,0.02602451326749358,0.01,0.017805632860920184
296,7.838214569512328e-23,0.007067135342918376,0.012712744570604888,0.004366387661784082,0.01,0.00957257396328226,7.838214569512328e-23,0.007067135342918376,0.012694959264345244,0.004366387661784082,0.01,0.00957257396328226
297,0.13735486437652794,0.1369199351535231,0.13647280627625696,0.14246868206403404,0.14177446878757824,0.15723175276459214,0.018907895417326067,0.022268144064039326,0.026951150061135097,0.023049910327467164,0.030000000000000002,0.04316237421503173
298,3.811162509523469e-05,0.04593638370421177,0.07587531995309944,0.05860855378804146,0.009999999999999997,0.04934334569441945,3.81116250952347e-05,0.04593638370421177,0.07580630055157057,0.058608553788041466,0.009999999999999997,0.04934334569441944
299,1.1960164919184426e-22,0.0035335682783517613,0.00595610047668466,0.004342745231618197,0.01,0.005192763200764561,1.1960164919184428e-22,0.0035335682783517613,0.005947719136685669,0.004342745231618196,0.01,0.005192763200764561
300,0.15540143451969243,0.1380790254552126,0.16248513525831407,0.14223846175726174,0.14177446878757824,0.15599396803531324,0.10927496018113217,0.05967063838921928,0.12163698477986043,0.05531307139381498,0.03,0.06805741360693802
301,6.304320991423165e-14,0.003533561512990702,0.0012323097112469763,0.002176615201504441,0.01,0.004388988814984729,6.304320991423165e-14,0.0035335615129907017,0.001231351211180076,0.002176615201504441,0.01,0.004388988814984729
302,1.9258314479137548e-13,0.007067130407290472,0.004074455287760322,0.0047795988903965945,0.01,0.005973288026791868,1.9258314479137553e-13,0.00706713040729047,0.004074437176256447,0.004779598890396593,0.01,0.0059732880267918675
303,0.13736056394868904,0.13736056394868904,0.13736056394868904,0.14285714285714285,0.14285714285714285,0.1625775694993416,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.02040816326530612,0.02040816326530612,0.04088198074736656
