,rmse_tsb,rmse_ses,rmse_dotm,rmse_knn,rmse_rf,rmse_svr,rmse_mlp,mae_tsb,mae_ses,mae_dotm,mae_knn,mae_rf,mae_svr,mae_mlp
19536,8.92E-05,0.070671282,0.152649681,0,0.058211236,0.01,0.070885117,8.92E-05,0.070671282,0.15246374,0,0.058211236,0.01,0.070885117
19537,4.46E-05,0.035335682,0.076324841,0,0.029105618,0.01,0.038053153,4.46E-05,0.035335682,0.07623187,0,0.029105618,0.01,0.038053153
19538,4.46E-05,0.035335682,0.076324841,0,0.029105618,0.01,0.038053153,4.46E-05,0.035335682,0.07623187,0,0.029105618,0.01,0.038053153
19539,4.46E-05,0.035335682,0.076324841,0,0.029105618,0.01,0.038053153,4.46E-05,0.035335682,0.07623187,0,0.029105618,0.01,0.038053153
19540,1.20E-06,0.00706713,0.013859101,0,0.005090986,0.01,0.009087387,1.20E-06,0.00706713,0.013842393,0,0.005090986,0.01,0.009087387
19541,6.37E-11,0.00706269,0.002296495,0.029411765,0.005896609,0.01,0.011007043,6.37E-11,0.00706269,0.002295692,0.029411765,0.005896609,0.01,0.011007043
19542,4.08E-05,0.162544172,0.01864919,0.176470588,0.097392603,0.010055698,0.120830194,4.08E-05,0.162544172,0.018560738,0.176470588,0.097392603,0.010055698,0.120830194
19543,1.52E-05,0.014134268,0.031095095,0.029411765,0.015906584,0.01,0.009564777,1.52E-05,0.014134268,0.031063145,0.029411765,0.015906584,0.01,0.009564777
19544,0.194256729,0.192479015,0.191553179,0.142237907,0.146677911,0.141774469,0.16886308,0.037737961,0.047536496,0.055856374,0.050420168,0.03540982,0.03,0.061450219
19545,1.07E-11,0.003533561,0.003060671,0,0.003271545,0.01,0.005572161,1.07E-11,0.003533561,0.003057388,0,0.003271545,0.01,0.005572161
19546,2.89E-25,0.003533567,0.008118184,0,0.003265004,0.01,0.00430239,2.89E-25,0.003533567,0.008107041,0,0.003265004,0.01,0.00430239
19547,6.90E-09,0.003533561,0.005356876,0.029411765,0.001811661,0.01,0.005822994,6.90E-09,0.003533561,0.005350603,0.029411765,0.001811661,0.01,0.005822994
19548,0.137360564,0.137360564,0.137360564,0.142857143,0.142857143,0.142857143,0.162577569,0.018867925,0.018867925,0.018867925,0.020408163,0.020408163,0.020408163,0.040881981
19549,3.32E-19,0.176678613,0.225781011,0,0.163922337,0.01,0.174591687,3.32E-19,0.176678613,0.225453934,0,0.163922337,0.01,0.174591687
19550,11.92871914,11.62024741,11.5917257,11.51202691,12.24062374,12.44812116,11.6622102,3.407867891,4.105654502,4.386000211,5.236494598,4.601739677,3.592423252,4.808646084
19551,4.11E-08,0.003533561,0.005987338,0,0.005072634,0.01,0.006598655,4.11E-08,0.003533561,0.005980234,0,0.005072634,0.01,0.006598655
19552,0.00147574,0.003533561,0.009621262,0,0.003628564,0.01,0.003440683,0.00147574,0.003533561,0.009609186,0,0.003628564,0.01,0.003440683
19553,0.005902958,0.014134268,0.038485046,0,0.014514257,0.01,0.008635512,0.005902958,0.014134268,0.038436743,0,0.014514257,0.01,0.008635512
19554,0.212972924,0.053003532,0.058517424,0.029411765,0.043706991,0.01,0.054196813,0.212972924,0.053003532,0.058514101,0.029411765,0.043706991,0.01,0.054196813
19555,0.274721128,0.274721128,0.274721128,0.285714286,0.285714286,0.285714286,0.29610267,0.037735849,0.037735849,0.037735849,0.040816327,0.040816327,0.040816327,0.061290144
19556,1.79E-12,0.003533561,0.002425252,0,0.00327169,0.01,0.004612665,1.79E-12,0.003533561,0.002422786,0,0.00327169,0.01,0.004612665
19557,6.77E-15,0.003533562,0.000436121,0,0.002900031,0.01,0.002966197,6.77E-15,0.003533562,0.000436046,0,0.002900031,0.01,0.002966197
19558,1.32E-09,0.060070672,0.037009816,0.058823529,0.050330532,0.01,0.066379518,1.32E-09,0.060070672,0.037007466,0.058823529,0.050330532,0.01,0.066379518
19559,1.23E-05,0.017682352,0.032762241,0,0.023031634,0.01,0.011755097,1.23E-05,0.017682352,0.032733297,0,0.023031634,0.01,0.011755097
19560,1.90E-11,0.106007096,0.083033286,0,0.106598505,0.01,0.094990661,1.90E-11,0.106007096,0.082982647,0,0.106598505,0.01,0.094990661
19561,1.79E-12,0.003533561,0.002425252,0,0.00327169,0.01,0.004612665,1.79E-12,0.003533561,0.002422786,0,0.00327169,0.01,0.004612665
19562,1.79E-12,0.003533561,0.002425252,0,0.00327169,0.01,0.004612665,1.79E-12,0.003533561,0.002422786,0,0.00327169,0.01,0.004612665
19563,2.09E-11,0.003533561,0.003298781,0.029411765,0.003276806,0.01,0.002942496,2.09E-11,0.003533561,0.00329519,0.029411765,0.003276806,0.01,0.002942496
19564,3.15E-06,0.03811018,1.280630667,0,2.501125231,0.009719283,6.183378405,3.15E-06,0.03811018,1.214943001,0,2.501125231,0.009719283,6.183378405
19565,4.23E-20,0.236749498,0.214445778,0,0.297201573,0.01,0.232310234,4.23E-20,0.236749498,0.213152541,0,0.297201573,0.01,0.232310234
19566,0.137360564,0.136919934,0.138352338,0.142857143,0.142250313,0.141774469,0.157489661,0.018867925,0.02226815,0.025135447,0.020408163,0.024664421,0.03,0.040503796
19567,9.65E-13,0,0.144771565,0,0.512953566,0.009789931,0.513434133,9.65E-13,5.99E-210,0.125991804,0,0.512953566,0.009789931,0.513434133
19568,3.94E-12,0.017667837,0.002031419,0,0.01963783,0.01,0.01849203,3.94E-12,0.017667837,0.00200342,0,0.01963783,0.01,0.01849203
19569,6.81E-12,0.035335681,0.014917754,0,0.033234391,0.01,0.0453029,6.81E-12,0.035335681,0.014917749,0,0.033234391,0.01,0.0453029
19570,3.40E-05,0.014134269,0.025343436,0,0.011853474,0.01,0.007045851,3.40E-05,0.014134269,0.025321891,0,0.011853474,0.01,0.007045851
19571,4.76E-16,0.00706713,0.001520278,0,0.005866483,0.01,0.002724564,4.76E-16,0.00706713,0.001516628,0,0.005866483,0.01,0.002724564
